,Fiscal.Year,naics,totaliniaccpt,totaliniden,totalinitial,iaccptperc,,idenperc,
275,2019,99,1054,365,1419,74.27766032,74.27766032,25.72233968,25.72233968
241,2018,54,39747,22672,62419,63.67772633,29.37160102,36.32227367,29.37160102
226,2018,11,49,26,75,65.33333333,28.51282051,34.66666667,28.51282051
243,2018,56,1035,449,1484,69.74393531,25.41207989,30.25606469,25.41207989
234,2018,44,570,234,804,70.89552239,24.94222947,29.10447761,24.94222947
242,2018,55,415,31,446,93.04932735,23.30539204,6.950672646,23.30539204
270,2019,62,4151,306,4457,93.13439533,23.2480317,6.865604667,23.2480317
268,2019,56,1105,425,1530,72.22222222,23.14104493,27.77777778,23.14104493
245,2018,62,5038,453,5491,91.75013659,22.90591548,8.249863413,22.90591548
247,2018,72,209,155,364,57.41758242,21.47367558,42.58241758,21.47367558
64,2011,52,5158,147,5305,97.22902922,21.2653104,2.770970782,21.2653104
71,2011,71,1047,106,1153,90.8065915,20.79656141,9.1934085,20.79656141
251,2019,11,102,51,153,66.66666667,20.73170732,33.33333333,20.73170732
266,2019,54,42937,22262,65199,65.85530453,20.67530772,34.14469547,20.67530772
232,2018,33,8502,620,9122,93.2032449,20.51064383,6.796755098,20.51064383
43,2010,56,908,306,1214,74.79406919,20.3948536,25.20593081,20.3948536
42,2010,55,289,15,304,95.06578947,20.27172028,4.934210526,20.27172028
235,2018,45,3615,157,3772,95.83775186,19.70709859,4.162248144,19.70709859
260,2019,45,2765,218,2983,92.69192089,19.49307362,7.308079115,19.49307362
239,2018,52,5734,711,6445,88.9681924,18.84867048,11.0318076,18.84867048
65,2011,53,335,106,441,75.96371882,17.44671069,24.03628118,17.44671069
147,2014,72,254,109,363,69.97245179,17.09792464,30.02754821,17.09792464
39,2010,52,4341,145,4486,96.7677218,17.04549958,3.232278199,17.04549958
257,2019,33,8778,697,9475,92.64379947,16.53760478,7.356200528,16.53760478
97,2012,72,368,157,525,70.0952381,16.48111658,29.9047619,16.48111658
259,2019,44,546,169,715,76.36363636,16.32828452,23.63636364,16.32828452
16,2009,54,45070,13649,58719,76.75539434,16.02438906,23.24460566,16.02438906
18,2009,56,1492,375,1867,79.91430102,16.02333221,20.08569898,16.02333221
149,2014,92,193,21,214,90.18691589,16.00658802,9.813084112,16.00658802
96,2012,71,401,65,466,86.05150215,15.95626405,13.94849785,15.95626405
261,2019,48,254,93,347,73.19884726,15.57666294,26.80115274,15.57666294
59,2011,44,931,252,1183,78.69822485,15.52878102,21.30177515,15.52878102
49,2010,92,227,18,245,92.65306122,14.91668489,7.346938776,14.91668489
207,2017,33,8247,240,8487,97.17214563,14.87549492,2.827854366,14.87549492
267,2019,55,424,66,490,86.53061224,14.30839002,13.46938776,14.30839002
216,2017,54,52176,12061,64237,81.22421657,14.28476546,18.77578343,14.28476546
145,2014,62,5372,312,5684,94.51090781,14.18832717,5.489092189,14.18832717
210,2017,45,3035,64,3099,97.93481768,13.57118132,2.065182317,13.57118132
109,2013,44,645,131,776,83.1185567,13.5257386,16.8814433,13.5257386
182,2016,33,7434,174,7608,97.71293375,13.46450891,2.287066246,13.46450891
99,2012,92,231,10,241,95.85062241,13.45606458,4.149377593,13.45606458
225,2017,99,408,110,518,78.76447876,13.43114543,21.23552124,13.43114543
72,2011,72,698,299,997,70.01003009,13.42020247,29.98996991,13.42020247
172,2015,72,230,76,306,75.16339869,13.16051844,24.83660131,13.16051844
48,2010,81,733,188,921,79.58740499,13.06565623,20.41259501,13.06565623
112,2013,49,26,5,31,83.87096774,12.9799186,16.12903226,12.9799186
134,2014,44,641,117,758,84.5646438,12.97323499,15.4353562,12.97323499
273,2019,81,275,103,378,72.75132275,12.88697512,27.24867725,12.88697512
192,2016,55,363,12,375,96.8,12.88,3.2,12.88
17,2009,55,257,20,277,92.77978339,12.86548238,7.220216606,12.86548238
195,2016,62,5260,373,5633,93.37830641,12.82275085,6.621693591,12.82275085
151,2015,11,81,15,96,84.375,12.76785714,15.625,12.76785714
40,2010,53,287,73,360,79.72222222,12.71359285,20.27777778,12.71359285
26,2010,11,124,21,145,85.51724138,12.6645768,14.48275862,12.6645768
193,2016,56,1049,201,1250,83.92,12.62028436,16.08,12.62028436
137,2014,49,31,6,37,83.78378378,12.60221432,16.21621622,12.60221432
170,2015,62,4934,296,5230,94.34034417,12.56256639,5.659655832,12.56256639
46,2010,71,528,92,620,85.16129032,12.53815172,14.83870968,12.53815172
114,2013,52,3896,130,4026,96.77098857,12.46441923,3.229011426,12.46441923
89,2012,52,4717,126,4843,97.39830683,12.35675559,2.601693165,12.35675559
214,2017,52,4018,205,4223,95.14563107,12.14563107,4.854368932,12.14563107
14,2009,52,4784,143,4927,97.09762533,12.03738437,2.90237467,12.03738437
236,2018,48,303,95,398,76.13065327,11.89018007,23.86934673,11.89018007
68,2011,56,1256,218,1474,85.21031208,11.78991179,14.78968792,11.78991179
264,2019,52,5805,741,6546,88.68010999,11.69049061,11.31989001,11.69049061
122,2013,72,295,98,393,75.06361323,11.68921391,24.93638677,11.68921391
74,2011,92,299,32,331,90.33232628,11.62084169,9.667673716,11.62084169
75,2011,99,1967,532,2499,78.71148459,11.61109605,21.28851541,11.61109605
184,2016,44,521,82,603,86.4013267,11.53109892,13.5986733,11.53109892
246,2018,71,137,62,199,68.84422111,11.42663869,31.15577889,11.42663869
274,2019,92,161,27,188,85.63829787,11.36063755,14.36170213,11.36063755
185,2016,45,1942,41,1983,97.93242562,11.32806425,2.067574382,11.32806425
139,2014,52,4082,104,4186,97.51552795,11.22111171,2.48447205,11.22111171
265,2019,53,445,133,578,76.98961938,11.13431485,23.01038062,11.13431485
224,2017,92,150,17,167,89.82035928,11.05588052,10.17964072,11.05588052
197,2016,72,219,77,296,73.98648649,11.04345363,26.01351351,11.04345363
220,2017,62,5218,318,5536,94.25578035,10.92244701,5.744219653,10.92244701
249,2018,92,193,39,232,83.18965517,10.88010257,16.81034483,10.88010257
230,2018,31,359,95,454,79.07488987,10.87609052,20.92511013,10.87609052
50,2010,99,1669,478,2147,77.73637634,10.80529033,22.26362366,10.80529033
34,2010,44,910,197,1107,82.20415537,10.76220548,17.79584463,10.76220548
189,2016,52,4376,163,4539,96.40890064,10.65222408,3.591099361,10.65222408
67,2011,55,344,15,359,95.82172702,10.61141494,4.178272981,10.61141494
84,2012,44,770,127,897,85.84169454,10.5180485,14.15830546,10.5180485
209,2017,44,442,63,505,87.52475248,10.41006521,12.47524752,10.41006521
90,2012,53,307,54,361,85.04155125,10.3870263,14.95844875,10.3870263
272,2019,72,136,82,218,62.3853211,10.36600165,37.6146789,10.36600165
